county state,relative mobility,absolute mobility,sample size,lat,long
McIntosh GA,0.317,36.4,358,31.47526,-81.407579
Macon GA,0.24,33.8,314,32.325042,-84.038814
Madison GA,0.371,36.6,963,34.104614,-83.24068
Meriwether GA,0.39,33.6,861,33.008863,-84.672846
Miller GA,0.343,38.3,264,31.159722,-84.737198
Mitchell GA,0.418,35.5,1028,31.216853,-84.172094
Monroe GA,0.375,35.2,762,33.038194,-83.906823
Montgomery GA,0.376,38,273,32.167319,-82.533261
Morgan GA,0.436,33.3,605,33.600243,-83.485957
Murray GA,0.401,35.5,1264,34.782329,-84.792066
Muscogee GA,0.375,35.2,7705,32.492289,-84.930634
Newton GA,0.246,34.4,334,33.56952,-83.896609
Oconee GA,0.327,40.5,1050,33.875278,-83.457946
Oglethorpe GA,0.405,35.9,263,33.916594,-83.14492
Paulding GA,0.303,38.2,1908,33.905688,-84.816609
Peach GA,0.336,35.4,1126,32.584826,-83.82958
Pickens GA,0.318,39.3,695,34.455892,-84.442301
Pierce GA,0.374,41.6,677,31.314668,-82.240429
Pike GA,0.261,39.2,567,33.103227,-84.366796
Polk GA,0.331,37.4,1521,34.010878,-85.176771
Pulaski GA,0.356,33.7,413,32.275344,-83.480342
Putnam GA,0.336,34,606,33.317059,-83.339663
Rabun NC,0.306,38.5,446,,
Richmond GA,0.353,35.8,9980,33.426859,-82.049444
Rockdale GA,0.217,39.8,471,33.642043,-84.020894
Screven GA,0.423,36.1,641,32.722842,-81.627328
Seminole GA,0.473,37.6,379,30.972496,-84.868027
Spalding GA,0.42,34.9,2277,33.258051,-84.273339
Stephens GA,0.395,38.7,1008,34.556904,-83.288681
Sumter GA,0.407,33.5,1372,32.059981,-84.221818
Talbot GA,0.524,33.5,252,32.703124,-84.582116
Tattnall GA,0.349,36.5,804,32.043908,-82.052217
Taylor GA,0.399,35.9,416,32.560542,-84.215083
Telfair GA,0.432,36.9,553,32.01562,-82.892471
Terrell GA,0.529,34.8,495,31.772157,-84.42886
Thomas GA,0.394,36.1,2004,30.868962,-83.948411
Tift GA,0.41,35.9,1636,31.454362,-83.515048
Toombs GA,0.435,37.8,1101,32.183936,-82.367022
Treutlen GA,0.417,39.2,253,32.387047,-82.589718
Troup GA,0.401,35.3,2485,33.036737,-85.031746
Turner GA,0.483,34.6,454,31.700824,-83.636891
Twiggs GA,0.253,33.7,388,32.703662,-83.416286
Union NC,0.315,41.5,511,35.013609,-80.619702
Union NC,0.374,38.6,3515,35.013609,-80.619702
Upson GA,0.425,36.8,981,32.907469,-84.324382
Walker TN,0.332,38.3,2516,,
Walton GA,0.354,36.8,1085,33.795381,-83.784266
Ware GA,0.434,37.2,1443,31.22682,-82.383943
Warren GA,0.457,32.7,258,33.407596,-82.662844
Washington GA,0.459,34.3,914,32.962029,-82.773406
Wayne GA,0.403,37.6,996,31.611857,-81.919105
White GA,0.227,45,591,34.601048,-83.744309
Whitfield GA,0.353,38.3,3067,34.792742,-84.965686
Wilcox GA,0.446,40,326,31.975167,-83.405657
Wilkes GA,0.432,35.9,497,33.755364,-82.753524
Wilkinson GA,0.386,32.3,529,32.8443,-83.239491
Worth GA,0.349,38.6,839,31.535712,-83.861186
Hawaii HI,0.254,40.1,5567,19.672837,-155.421895
Honolulu HI,0.232,44.8,27530,21.372464,-157.913673
